Country,region,1970/3,1970/6,1970/9,1970/12,1971/3,1971/6,1971/9,1971/12,1972/3,1972/6,1972/9,1972/12,1973/3,1973/6,1973/9,1973/12,1974/3,1974/6,1974/9,1974/12,1975/3,1975/6,1975/9,1975/12,1976/3,1976/6,1976/9,1976/12,1977/3,1977/6,1977/9,1977/12,1978/3,1978/6,1978/9,1978/12,1979/3,1979/6,1979/9,1979/12,1980/3,1980/6,1980/9,1980/12,1981/3,1981/6,1981/9,1981/12,1982/3,1982/6,1982/9,1982/12,1983/3,1983/6,1983/9,1983/12,1984/3,1984/6,1984/9,1984/12,1985/3,1985/6,1985/9,1985/12,1986/3,1986/6,1986/9,1986/12,1987/3,1987/6,1987/9,1987/12,1988/3,1988/6,1988/9,1988/12,1989/3,1989/6,1989/9,1989/12,1990/3,1990/6,1990/9,1990/12,1991/3,1991/6,1991/9,1991/12,1992/3,1992/6,1992/9,1992/12,1993/3,1993/6,1993/9,1993/12,1994/3,1994/6,1994/9,1994/12,1995/3,1995/6,1995/9,1995/12,1996/3,1996/6,1996/9,1996/12,1997/3,1997/6,1997/9,1997/12,1998/3,1998/6,1998/9,1998/12,1999/3,1999/6,1999/9,1999/12,2000/3,2000/6,2000/9,2000/12,2001/3,2001/6,2001/9,2001/12,2002/3,2002/6,2002/9,2002/12,2003/3,2003/6,2003/9,2003/12,2004/3,2004/6,2004/9,2004/12,2005/3,2005/6,2005/9,2005/12,2006/3,2006/6,2006/9,2006/12,2007/3,2007/6,2007/9,2007/12,2008/3,2008/6,2008/9,2008/12,2009/3,2009/6,2009/9,2009/12,2010/3,2010/6,2010/9,2010/12,2011/3,2011/6,2011/9,2011/12,2012/3,2012/6,2012/9,2012/12,2013/3,2013/6,2013/9,2013/12,2014/3,2014/6,2014/9,2014/12,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12
Haiti,Latin America and the Caribbean,1.12,1.16,1.2,1.14,1.23,1.3,1.28,1.26,1.25,1.28,1.33,1.37,1.52,1.63,1.63,1.64,1.72,1.83,1.87,1.96,1.99,2.2,2.14,2.28,2.34,2.28,2.26,2.35,2.41,2.57,2.45,2.39,2.33,2.35,2.44,2.45,2.51,2.67,2.79,2.84,3.09,3.17,3.21,3.27,3.47,3.51,3.52,3.61,3.71,3.83,3.78,3.83,4,4.22,4.19,4.29,4.34,4.45,4.47,4.51,4.67,4.82,5.02,5.17,5.22,5.13,5.12,4.84,4.57,4.49,4.44,4.49,4.52,4.62,4.7,4.89,4.87,4.88,5.02,5.26,5.58,5.82,6.19,6.71,6.8,6.8,6.88,7.55,8.15,8.27,8.35,8.68,9.28,10.05,10.48,11.19,12.22,14.17,15.99,16.07,17.12,17.77,18.66,19.8,20.33,21.1,24.44,25.42,26.38,27.05,27.53,27.9,28.27,28.6,28.86,28.86,29.05,29.3,29.63,30.05,30.43,31.48,32.41,34.73,35.79,36.38,36.74,37.33,37.94,38.44,39.34,40.8,44.84,49.24,52.21,55.16,57.01,60.66,62.37,63.78,65.71,67.98,70.91,73.29,74.83,76.96,78.12,79.5,80.12,81.57,82.96,85.05,87.95,94.04,97.67,100.42,95.11,94.16,95.42,96.88,99.13,100,100.36,100.51,103.04,105.87,107.72,108.7,109.41,110.53,112.28,114.45,115.62,116.7,117.5,118.13,118.82,120.12,121.86,123.25,124.72,125.78,130.63,135.49,139.09,142.17,145.32,149.49,153.23,157.48,161.5,165.37,170.03,175.3,181.98,189.85,198.34,207.05,217.33,228.58,240.36,255.71,274.36,274.94,283.54,292.37,307.43,338.08,354.42,373.82,411.34,496.94,526.49,545.89,560.03,
Honduras,Latin America and the Caribbean,1.94,1.97,1.99,1.97,2,2.02,2.01,2.01,2.04,2.05,2.12,2.11,2.15,2.21,2.16,2.24,2.35,2.48,2.52,2.53,2.61,2.66,2.71,2.73,2.76,2.76,2.84,2.88,2.95,3.06,3.08,3.09,3.18,3.2,3.24,3.26,3.42,3.5,3.68,3.85,4.13,4.25,4.31,4.37,4.53,4.64,4.72,4.77,4.96,5.05,5.13,5.2,5.33,5.44,5.6,5.64,5.7,5.73,5.79,5.83,5.86,5.89,6.02,6.06,6.12,6.18,6.27,6.29,6.31,6.33,6.4,6.44,6.48,6.57,6.7,6.87,7.03,7.17,7.42,7.64,8.03,8.64,9.23,10.18,11.22,11.98,12.45,12.67,12.85,13.08,13.2,13.42,13.75,14.28,14.98,15.21,15.9,17.17,18.39,19.39,21.09,22.51,23.46,24.67,25.78,27.43,29.42,30.97,32.66,33.71,34.92,35.25,36.48,38.35,39.81,40.56,41.93,42.65,43.77,44.95,46.24,47.81,48.78,49.63,51.03,52.38,53.48,54.19,55.08,56.29,57.53,58.41,59.9,60.74,61.58,62.54,63.95,65.5,66.98,68.19,69.84,71.46,73,73.62,74.55,75.65,76.56,77.23,78.94,80.33,81.69,84.11,86.1,89.2,92.98,93.86,94.3,95.03,96.13,96.59,97.78,99.07,100.54,102.61,104.08,106.56,108,108.41,109.86,112.07,112.93,114.37,116.1,117.58,118.94,119.81,122.88,124.8,126.5,127.21,127.48,129.25,130.31,130.17,131.08,132.37,133.7,134.16,135.99,137.58,138.67,139.98,142,143.24,144.66,146.33,147.76,150.31,151.12,152.18,153.76,154.45,156.01,158.01,159.9,161.39,162.96,165.87,170.3,176.27,179.96,182.68,186.07,187.78,190.15,192.46
Hungary,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,3,2.98,2.99,3.12,3.11,3.12,3.17,3.27,3.3,3.36,3.44,3.55,3.56,3.59,3.64,3.82,3.9,3.92,3.92,4.1,4.16,4.17,4.22,4.34,4.36,4.38,4.45,4.59,4.71,4.82,4.93,5.4,5.42,5.55,5.67,6.17,6.38,6.57,6.7,7.68,8.07,8.49,8.9,10.27,11.07,11.51,11.84,12.98,13.59,13.93,14.75,16.18,16.55,17.04,17.9,18.9,19.57,20.37,21.59,23.53,25.52,26.38,27.77,30.02,31.63,32.36,33.41,35.67,37.42,38.19,39.46,41.75,43.15,43.29,43.9,45.7,47.08,47.87,48.63,50.21,51.39,52.58,53.66,55.37,56.8,57.14,57.49,58.8,59.91,59.76,60.28,61.53,62.25,62.57,63.51,65.73,66.81,66.94,67.23,68.07,69.31,69.38,69.45,69.8,71.13,72.24,73.9,75.75,77.25,77.77,79.15,80.98,82.48,82.68,82.51,83.42,85.44,86.82,86.8,88.43,90.01,90.13,90.55,92.15,93.63,93.19,94.25,97.31,98.77,98.91,99.33,100.17,100.54,100.37,100.07,100.2,100.37,100.3,99.38,99.14,100.62,100.35,99.9,99.48,100.57,100.39,101.14,102.07,102.66,102.82,103.45,104.1,105.45,106.37,106.81,107.38,109.4,109.62,110.44,112.02,112.11,113.69,113.55,115.54,117.94,119.37,121.59,125.07,130.42,139.03,149.22,156.85,158.89,160.38,160.75
Iceland,Northern Europe,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.16,0.17,0.18,0.21,0.22,0.26,0.28,0.32,0.34,0.36,0.37,0.42,0.45,0.48,0.51,0.54,0.57,0.63,0.7,0.77,0.85,0.9,0.96,1.08,1.22,1.4,1.54,1.75,1.94,2.15,2.45,2.68,2.91,3.18,3.5,3.9,4.37,5.08,5.91,7.29,8.54,9.24,9.55,9.91,10.31,10.78,12.04,12.85,13.8,14.84,15.79,16.07,16.48,17.03,17.91,18.7,19.75,20.96,22.45,23.51,25.43,25.84,26.82,28.68,30.11,31.79,33,33.73,34.29,34.6,35.05,35.74,36.72,37.33,37.5,37.57,37.72,37.78,38.54,38.82,39.46,39.83,39.61,39.71,39.86,39.9,40.22,40.21,40.52,40.77,40.95,41.22,41.54,41.65,41.7,41.99,42.24,42.45,42.61,42.88,42.74,42.93,43.2,43.81,44.49,45.2,45.69,46.32,46.6,47.16,47.42,48.92,50.26,51.06,51.74,51.9,52,52.3,52.62,52.98,53.01,53.61,53.75,54.65,54.9,55.62,56.1,56.47,57.05,58.03,58.51,60.45,61.73,62.18,62.43,63.24,64.07,65.39,66.9,71,73.07,76.56,78.32,79.46,81.12,83.14,84.16,85.14,84.65,85.48,85.84,88.1,89.1,89.96,91.37,93.17,92.94,93.83,95.32,96.28,96.68,97.41,97.68,98.52,98.74,98.63,98.72,100.04,100.69,100.55,100.64,101.66,102.01,102.48,102.48,103.43,103.69,104.35,105,105.8,106.48,107.77,108.26,109.4,109.75,110.45,110.52,112.13,113.31,114.37,115.19,117.08,118.18,119.9,122.31,126.31,129.6,131.2,134.52,138.19,139.67,141.55
India,Southern Asia,2.99,3.08,3.15,3.16,3.1,3.11,3.25,3.3,3.26,3.32,3.48,3.53,3.58,3.82,4.14,4.33,4.52,4.92,5.42,5.56,5.45,5.48,5.41,5.25,4.9,4.88,5.03,5.14,5.21,5.33,5.51,5.55,5.42,5.45,5.59,5.69,5.57,5.73,6.03,6.21,6.24,6.41,6.69,6.87,7,7.28,7.61,7.75,7.71,7.8,8.16,8.32,8.39,8.76,9.22,9.41,9.43,9.5,9.87,9.95,9.86,10.09,10.39,10.57,10.65,10.95,11.31,11.58,11.55,11.83,12.36,12.66,12.65,12.99,13.46,13.85,13.71,13.99,14.43,14.57,14.54,15.12,15.75,16.36,16.72,17,18.02,18.6,18.96,19.37,20.09,20.2,20.04,20.48,21.23,21.86,21.97,22.61,23.58,24.02,24.13,24.9,26.12,26.45,26.26,27.22,28.36,28.88,29.05,29.32,29.79,30.49,31.67,32.37,34.38,35.93,34.52,34.66,35.35,36.1,35.79,36.48,36.81,37.17,36.84,37.48,38.53,38.94,38.72,39.16,40.08,40.35,40.19,41.02,41.43,41.71,41.79,42.12,43.17,43.45,43.56,43.81,44.77,45.63,45.52,46.41,47.56,48.58,48.71,49.35,50.75,51.26,51.77,53.17,55.34,56.49,56.61,57.89,61.84,64.01,65.29,65.8,68.22,69.88,71.15,71.66,74.47,75.74,76.25,78.93,81.73,83.39,85.18,87.34,90.53,92.19,91.04,93.34,96.65,96.78,97.04,98.82,101.12,103.03,102.52,104.94,106.47,105.83,104.94,106.47,109.02,109.79,109.91,110.68,115.14,115.4,117.69,120.11,122.54,125.34,125.47,126.36,129.31,131.55,131.04,133.09,135.55,138.09,138.12,141.72,143.74,145.91,146.46,148.85,152.92,152.89
Indonesia,South-eastern Asia,0.88,0.87,0.87,0.88,0.94,0.91,0.89,0.91,0.94,0.94,0.93,1.07,1.14,1.2,1.32,1.42,1.66,1.77,1.8,1.91,2,2.08,2.15,2.28,2.42,2.49,2.61,2.67,2.72,2.78,2.87,2.95,3,3.04,3.07,3.14,3.24,3.46,3.71,3.81,3.93,4.11,4.29,4.46,4.59,4.68,4.76,4.82,5.08,5.1,5.17,5.28,5.55,5.73,5.87,5.92,6.23,6.39,6.43,6.44,6.5,6.7,6.73,6.75,6.88,6.95,7.05,7.36,7.48,7.61,7.75,8.01,8.14,8.27,8.43,8.5,8.65,8.87,8.93,9.04,9.18,9.38,9.76,9.93,10.05,10.28,10.65,10.89,11.03,11.22,11.32,11.43,12.05,12.28,12.43,12.6,13,13.22,13.54,13.81,14.19,14.6,14.8,15.03,15.7,15.77,15.84,15.98,16.4,16.54,16.85,17.45,20.94,24.75,29.71,31.13,32.61,32.39,31.68,31.66,32.42,32.75,33.48,34.43,35.45,36.4,37.75,38.79,40.6,41.02,41.67,42.75,43.77,43.98,44.33,45.18,45.89,46.79,47.3,48.03,49.44,50.37,51.27,56.57,57.8,58.19,58.9,60,61.48,61.69,62.73,64.03,66.18,67.99,70.19,71.13,71.25,71.23,72.13,72.97,73.85,74.34,76.57,77.58,78.9,78.72,80.14,80.78,81.83,82.26,83.74,84.34,85.7,86.56,90.33,90.88,92.35,92.7,94.26,96.76,98.4,99.25,100.94,101.42,102.66,102.68,103.99,104.77,106.4,107.09,107.95,108.43,109.89,110.58,111.29,111.87,112.78,114.05,115.07,115.17,116.07,116.46,116.45,116.86,117.73,118.18,118.28,118.92,120.43,122.67,124.42,125.51,126.74,127.51,128,128.88
Ireland,Northern Europe,8.18,8.42,8.47,8.65,8.88,9.16,9.22,9.44,9.7,10.02,10.11,10.37,10.69,11.08,11.2,11.52,11.93,12.44,12.63,13.05,13.65,14.33,14.54,15.07,15.92,16.86,17.15,17.9,18.56,19.22,19.41,19.78,20.07,20.44,21.01,21.38,22.23,22.99,23.93,24.78,25.72,27.6,28.36,29.3,31.09,32.31,34.1,36.08,36.93,39.09,39.94,40.52,41.51,42.69,43.87,44.76,45.84,46.82,47.41,47.71,48.59,49.28,49.97,50.07,50.86,51.45,51.55,51.64,52.63,52.92,53.22,53.22,53.61,53.91,54.3,54.69,55.38,55.97,56.76,57.25,57.74,57.94,58.43,58.73,59.22,59.71,60.5,60.89,61.38,61.87,62.17,62.27,62.56,62.47,63.06,63.25,63.65,64.14,64.63,64.73,65.22,65.91,66.2,66.3,66.6,66.89,67.19,67.58,67.58,67.98,68.11,68.68,68.81,69.77,70.14,70.21,69.81,70.74,71.1,71.83,72.83,74.42,75.52,76.55,76.72,78.51,79.01,79.67,80.41,82.1,82.4,83.5,84.36,85.19,84.99,85.32,85.72,86.72,87.22,87.68,87.62,88.71,89.44,90.01,90.41,92.13,93.23,93.99,94.96,96.72,97.65,98.55,99.44,101.2,101.94,101.04,97.98,96.65,95.69,95.22,94.66,95.39,95.89,96.05,96.79,98.08,98.21,98.68,98.91,99.81,99.94,99.74,99.84,100.34,100.31,99.94,99.94,100.67,100.61,99.94,99.38,100.31,100.47,99.84,99.28,100.44,100.61,99.71,99.78,100.67,100.74,100.21,100.07,100.81,101.54,100.94,100.87,102.07,102.23,101.97,101.9,101.74,101.37,100.77,101.7,103.2,104.33,106.12,107.58,111.4,113.36,115.42,116.16,118.81,120.38,120.64
Israel,Western Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.1,0.13,0.16,0.19,0.24,0.3,0.36,0.45,0.54,0.82,1.17,1.8,2.72,4.59,5.98,8.86,13.02,14.27,14.45,15.34,15.73,16.8,17.58,18.33,18.79,19.5,20.32,21.35,21.74,22.95,24.52,25.55,26.33,27.54,28.32,29.71,31.1,32.67,33.52,35.26,37.68,38.64,39.14,40.35,40.99,42.06,43.48,44.76,45.33,46.72,47.79,49.75,51.49,53.41,54.05,54.94,55.94,57.61,59.35,61.74,62.81,64.05,65.37,67,68.53,69.28,69.18,70.24,70.99,74.62,74.19,74.44,75.22,75.94,75.22,75.83,75.94,75.9,75.4,76.51,77.29,77.18,78.39,80.92,82.34,82.41,82.48,82.13,81.06,80.67,80.42,81.56,81.59,81.52,81.06,81.81,82.91,83.59,83.62,84.58,84.51,83.44,83.12,83.73,85.22,85.62,86.01,87.82,89.64,89.6,89,90.63,92.48,92.8,92.13,93.19,94.33,95.08,95.83,97.04,97.43,97.5,97.57,98.57,99.14,99.03,98.92,99.81,100.81,100.95,100.24,100.63,100.81,100.74,99.42,100.24,100.42,99.92,98.89,99.39,99.88,99.64,99.39,99.85,99.64,99.96,99.56,100.56,100.88,100.99,100.81,101.77,101.38,101.45,100.95,100.63,100.63,100.7,100.88,101.98,102.87,103.26,104.3,106.25,107.78,108.64,109.71,111.16,111.88,112.27
Italy,Southern Europe,5.58,5.65,5.7,5.79,5.86,5.92,5.97,6.06,6.13,6.22,6.33,6.5,6.67,6.9,7.06,7.25,7.64,8.04,8.52,9.04,9.36,9.62,9.8,10.09,10.51,11.17,11.48,12.17,12.64,13.12,13.45,13.9,14.26,14.7,15.05,15.51,16.1,16.7,17.28,18.25,19.43,20.19,21.05,22.06,22.99,24.01,24.72,25.86,26.91,27.72,28.86,30.18,31.25,32.15,32.89,34.03,35.02,35.82,36.33,37.21,38.29,39.2,39.66,40.53,41.16,41.58,41.81,42.31,42.92,43.42,43.86,44.58,45.12,45.6,46.04,46.86,47.76,48.54,48.99,49.83,50.85,51.49,52.19,53.18,54.07,54.85,55.49,56.27,57.16,57.86,58.3,59.01,59.77,60.5,61.1,61.71,62.38,62.95,63.44,64.15,65.1,66.31,67.02,67.73,68.47,69.22,69.4,69.73,70.18,70.53,70.67,71.11,71.6,71.97,72.11,72.33,72.6,73.02,73.35,73.84,74.3,74.84,75.28,75.81,76.45,77.12,77.39,77.63,78.3,78.87,79.25,79.78,80.42,81,81.42,81.8,82.27,82.89,83.24,83.42,83.84,84.42,84.93,85.22,85.64,86.3,86.77,86.77,87.12,87.68,88.19,88.81,89.78,90.81,91.69,91.29,91.12,91.58,91.8,91.89,92.29,92.87,93.29,93.53,94.45,95.35,95.91,96.62,97.52,98.48,98.95,99.01,99.38,99.63,100.06,99.69,99.88,100.06,100,99.78,99.63,100.12,100.19,99.94,99.53,99.73,100.17,100.07,100.87,101.23,101.3,101,101.6,102.17,102.8,102.43,102.57,103.03,103.17,102.73,102.87,102.9,102.67,102.5,103.47,104.13,104.9,106.13,109.33,111.33,113.7,118.6,119.07,119.57,120.03,119.77
Jamaica,Latin America and the Caribbean,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.22,0.24,0.25,0.27,0.29,0.3,0.31,0.33,0.34,0.35,0.36,0.36,0.37,0.39,0.39,0.4,0.41,0.43,0.45,0.46,0.52,0.63,0.66,0.68,0.71,0.75,0.79,0.85,0.9,0.97,1.02,1.03,1.04,1.07,1.08,1.09,1.11,1.13,1.15,1.17,1.21,1.29,1.33,1.42,1.54,1.7,1.75,1.82,1.96,2.1,2.16,2.23,2.28,2.35,2.4,2.39,2.43,2.49,2.56,2.59,2.61,2.68,2.8,2.89,2.99,3.1,3.23,3.41,3.57,3.76,4.16,4.41,4.98,5.9,7.21,8.72,9.94,10.47,10.77,11.03,11.44,12.51,13.73,14.9,15.93,17.17,17.78,18.34,18.96,19.91,21.67,23.72,24.77,25.34,25.88,26.39,26.86,27.67,28.4,28.72,29.31,30.3,30.45,30.61,30.84,31.85,32.61,32.99,33.69,34.61,34.88,35.04,35.8,36.99,37.59,37.91,38.29,39.32,40.19,40.24,41.71,43.87,45.61,46.69,47.45,48.8,51.73,52.7,55.14,57.36,58.77,58.98,60.18,61.86,62.13,63.26,64.73,66.89,70.74,75.45,79.4,84.22,85.04,85.31,87.31,89.91,92.67,96.47,99.39,100.85,103.29,104.54,106.43,108.76,110.49,112.12,113.8,115.15,118.73,121.65,124.09,126.47,130.53,132.32,133.84,138.17,140.01,138.39,139.53,142.34,144.18,143.16,142.83,145.1,146.62,148.08,149.44,151.6,153.88,154.53,153.93,157.4,159.68,158.7,160.54,163.57,167.15,167.15,169.4,172.12,175.26,174.76,176.84,183.4,189.03,193.2,196.67,201.49,207.61,207.45,208.58,214.43,
Japan,Eastern Asia,30.95,31.39,31.46,32.34,32.82,33.39,33.77,34.21,34.34,35.09,35.39,35.87,36.85,38.72,39.87,41.57,45.44,47.48,49.24,51.31,52.33,53.75,54.33,55.76,57.05,58.81,59.59,61.02,62.37,64.07,64.34,64.95,65.29,66.65,67.16,67.36,67.26,68.86,69.57,70.72,72.11,74.42,75.2,76.15,76.86,78.09,78.36,79.27,79.27,80.12,80.53,81.24,80.97,81.92,81.72,82.6,82.94,83.58,83.55,84.5,84.6,85.38,85.52,85.89,85.93,86.13,85.72,85.69,85.21,86.26,86.09,86.33,85.86,86.43,86.6,87.25,86.77,88.81,88.98,89.52,89.86,91.08,91.25,92.75,93.22,94.17,94.17,95.33,94.99,96.31,95.87,96.24,96.24,97.12,97.57,97.29,97.4,97.87,97.57,98.07,97.6,97.84,97.6,97.53,97.26,97.97,97.8,98.07,97.84,99.91,99.87,100.14,99.74,100.25,99.67,100.69,99.64,99.97,99.67,99.67,99.02,99.26,99.02,98.89,98.62,98.55,98.31,97.97,97.26,97.7,97.53,97.43,97.02,97.46,97.29,97.12,96.89,97.16,97.19,97.63,96.92,97.06,96.89,96.89,96.78,97.23,97.5,97.23,96.68,97.16,97.36,97.7,97.63,98.45,99.47,98.72,97.53,97.53,97.23,96.72,96.68,96.75,96.24,96.45,96.17,96.38,96.38,96.14,96.48,96.55,95.97,95.9,95.83,96.28,96.82,97.26,97.29,99.7,100.08,99.77,99.53,100.28,100.18,100.01,99.57,99.91,99.7,100.31,99.91,100.31,100.31,100.89,101.2,100.99,101.43,101.77,101.5,101.74,101.77,102.28,102.18,101.87,101.81,101.33,101.64,101.13,101.64,101.84,102.52,103.54,104.56,105.78,106.25,107.03,107.85,108.87
Jersey,Northern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,59.8,60.4,61.4,63.3,65.4,66.8,67.2,69.1,70.6,72.1,72.3,73.8,75,76.1,76.3,77.6,78,78.3,78.8,79.8,80.1,80.5,80.9,82.3,82.9,83.4,84,84.7,85.5,86,87,87.8,88.5,89.6,90,91.6,92.7,93.5,93.6,94.7,95.7,96.7,97.7,99,100,101.1,101.6,103,103.9,105.3,104.7,107.1,108.3,109.7,109.8,112.4,112.9,113.9,114.2,116.6,118.3,120.3,120.3,121.9,122.6,122.7,123,124.8,126.2,127.1,127.5,130.3,131.6,132.1,133.3,134.5,139,140.5,137.7,137.3,138.5,139.6,140,141.7,142.4,142.6,143.2,146.1,148.8,150.3,150.4,153,153.3,154.5,153.5,155.2,155.6,156.4,156.4,157.9,158.1,159.3,158.5,158.9,159.6,159.5,160,161.2,162,162.7,163,165.9,166.1,167.8,168.8,171.2,173.5,175,175.4,177.3,178.4,179.7,179.8,182.1,179.3,181.4,181.4,183.6,185.5,186.7,188.3,194.6,200.1,206.2,212.2,219.3,221.9,227,228.1
Jordan,Western Asia,,,,,,,,,,,,,,,,,,,,,,,,,15.68,15.61,15.6,16.28,17.21,17.42,17.5,17.84,18.49,17.97,18.15,20.21,20.6,20.57,21.29,23.02,23.67,23.81,23.74,23.69,26.24,25.94,26.49,27.7,27.76,27.75,28.19,29.51,28.95,28.82,28.54,29.09,29.51,29.76,29.81,30.77,30.73,30.57,30.8,31.33,30.97,30.57,30.57,31.32,30.67,30.66,30.83,30.9,30.89,32.15,32.24,34.99,38.23,39.96,42.32,44.58,46.85,47.56,47.75,49.66,51.36,51.73,51.55,52.81,54.1,54.38,53.04,54.23,55.39,55.56,55.45,56.51,56.81,57.55,57.26,59.12,58.23,58.32,58.59,61.02,63.34,62.17,62.64,63.38,63.39,64.74,64.4,66.63,66.87,66.69,66.56,67.06,66.67,67.19,67.04,67.9,67.86,67.92,67.66,67.15,67.97,68.51,69.39,69.73,70.05,70.28,70.1,70.02,70.53,71.09,71.4,71.96,72.71,74.06,73.64,74.18,74.94,74.94,76.71,78.29,78.25,80.4,80.96,82.35,83.67,83.52,83.85,86.2,91.85,95.77,99.11,97.63,94.4,94.11,96.05,96.95,98.79,98.99,100,102.22,102.79,103.71,104.61,105.55,106.2,107.94,109.73,111.59,113.07,113.14,114.61,115.66,116.77,117.03,117.94,117.96,115.7,116.66,116.94,116.29,114.36,114.73,116.27,116.6,118.68,118.9,119.23,120.51,123,124.52,125.41,125.69,124.45,125.57,126.02,126.37,126.79,125.46,125.59,126.24,126.87,127.42,127.98,128.61,129.78,133,134.84,134.85,134.95,135.68,136.18,136.77
Kenya,Sub-Saharan Africa,0.89,0.89,0.9,0.9,0.89,0.9,0.95,0.96,0.97,0.98,0.99,0.99,1,1.03,1.12,1.14,1.19,1.24,1.3,1.33,1.41,1.49,1.53,1.58,1.62,1.67,1.7,1.71,1.76,1.9,1.98,2.06,2.15,2.24,2.29,2.33,2.36,2.4,2.44,2.52,2.64,2.74,2.79,2.89,2.94,3.02,3.11,3.28,3.54,3.68,3.8,3.89,4,4.09,4.21,4.29,4.41,4.52,4.62,4.75,4.99,5.17,5.24,5.29,5.19,5.25,5.31,5.46,5.59,5.7,5.79,5.96,6.13,6.34,6.6,6.8,6.97,7.24,7.44,7.78,8.04,8.49,8.77,9.38,9.83,10.25,10.64,10.92,11.58,13.08,14.04,14.33,15.73,18.46,20.83,22.38,24.59,25.64,25.06,24.41,24.93,25.17,25.46,25.69,26.4,27.17,28.18,28.48,29.68,31.23,30.47,31.38,32.98,33.03,32.85,32.15,33.42,34.63,35.06,35.42,36,37.75,39.08,39.52,39.78,40.33,40.54,40.44,40.27,41.06,41.32,41.61,43.48,46.58,45.05,45.27,47.43,49.39,51.52,53,54.23,56.41,55.42,56.05,63.89,63.72,61.97,64.63,68.62,68.6,69.74,72.05,82.41,87.04,90.08,92.7,94.09,95.9,96.83,97.94,98.82,99.42,100.06,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Western Asia,,,,,,,,,,,,,21.06,21.3,22.56,22.94,23.88,24.58,25.08,25.75,25.96,26.68,27.1,27.87,27.88,27.9,28.29,29.17,30.52,30.57,31.24,32.1,33.43,33.3,33.97,34.56,35.81,35.97,36.36,36.65,37.68,38.43,38.86,39.84,40.61,41.5,41.65,42.48,43.26,44.69,45.26,45.95,46.69,46.8,47,47.14,47.24,47.46,47.53,47.6,48.11,48.16,48.09,48.3,48.63,48.6,48.7,48.56,48.88,49.03,49.14,48.71,49.2,49.81,49.69,49.94,50.75,51.62,51.27,51.63,51.99,52.56,,,,,61.27,60.98,61.59,61.92,60.49,60.55,60.94,61.1,61.27,62.19,62.34,62.35,62.86,64.13,64.36,64.23,64.8,65.1,66.32,67.03,67.09,67.22,67.36,67.49,67.07,67.56,67.14,66.84,67.2,68.61,68.6,68.78,69.58,70.95,70.31,70.74,70.87,71.02,71.03,71.66,71.8,73.14,73.1,72.77,72.26,72.74,72.79,72.93,73.09,73.14,73.11,73.59,73.87,75.02,75.57,76.83,76.97,78.41,78.42,78.44,79.69,80.68,81.86,82.38,83.94,86.46,90.02,91.67,93.32,95.04,95.54,96.13,96.25,96.84,98.25,99.23,100.6,101.92,103.13,104.27,105.31,106.65,107.6,107.66,108.37,109.38,110.18,110.81,111.36,112.27,113.39,113.94,114.54,115.69,116.81,117.84,118.58,119.3,120.48,121.25,122.43,123.49,124.02,124.25,124.62,125.35,124.95,124.91,125.43,125.65,125.72,125.98,127.13,127.57,127.94,128.31,129.72,131.08,131.86,132.45,134.11,136.33,137.59,138.47,139.29,140.69,142.28,143.65,144.53,145.83
